Title,Release Date,Language,Vote Average,Popularity
Harivu,04-12-2014,Kannada,0,0.0555
Brahma,07-02-2014,Kannada,0,0.095
Kwatle Satisha,01-01-2014,Kannada,0,0.0357
Khushi Khushiyagi,18-11-2014,Kannada,0,0.0621
Namo Bhoothatma,01-01-2014,Kannada,0,0.0393
Crazy Star,14-02-2014,Kannada,0,0.0297
Dec-01,25-04-2014,Kannada,0,0.0168
Mithileya Seetheyaru,01-01-2014,Kannada,0,0.0143
Vajrakaya,12-06-2015,Kannada,4.3,0.4582
Rangi Taranga,03-07-2015,Kannada,6.8,0.3938
Mythri,20-02-2015,Kannada,7,2.4228
Siddhartha,23-01-2015,Kannada,2,0.4867
Masterpiece,24-12-2015,Kannada,5.6,0.3433
Care of Footpath 2,06-11-2015,Kannada,0,0.3581
Sharp Shooter,11-12-2015,Kannada,5,0.1709
DK,13-02-2015,Kannada,2,0.2614
Aatagara,09-10-2015,Kannada,4.2,0.2727
Ranna,04-06-2015,Kannada,6.2,2.1006
Mr. Airavata,01-10-2015,Kannada,5,0.2426
Krishna Leela,20-03-2015,Kannada,8,0.2474
Rana Vikrama,10-04-2015,Kannada,5,0.1412
Raja Rajendra,06-02-2015,Kannada,6.5,0.2054
Vascodigama,23-10-2015,Kannada,0,0.1547
1st Rank Raju,27-11-2015,Kannada,7,0.1346
Cigarette,11-09-2015,Kannada,6,0.1312
Rhaatee,20-03-2015,Kannada,0,0.1335
Endendigu,01-05-2015,Kannada,0,0.1535
Charlie,17-09-2015,Kannada,6,0.1589
Uppi 2,14-08-2015,Kannada,7.1,0.1426
Rudra Tandava,27-02-2015,Kannada,4.5,0.2218
Boxer,20-11-2015,Kannada,0,1.9492
Goa,06-03-2015,Kannada,6.5,0.09
Bullet Basya,24-07-2015,Kannada,0,0.317
Kendasampige,11-09-2015,Kannada,6,0.1139
Neenade Naa,25-01-2015,Kannada,0,0.1341
Male,07-08-2015,Kannada,0,0.0964
Mrugashira,15-05-2015,Kannada,7,0.0938
Bengaluru 560023,20-11-2015,Kannada,6.2,0.1062
Thithi,10-08-2015,Kannada,7.6,0.1481
Ouija,06-11-2015,Kannada,3,0.1163
Ganapa,26-06-2015,Kannada,7,0.1235
Shivam,02-01-2015,Kannada,6,0.1011
Abhinetri,30-01-2015,Kannada,0,0.0499
Vaastu Prakaara,01-05-2015,Kannada,4,0.0582
A 2nd Hand Lover,25-09-2015,Kannada,5,0.1145
Daksha,24-04-2015,Kannada,0,0.0563
Naanu Avanalla... Avalu,25-09-2015,Kannada,4.2,0.0379
