Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Aadi,04-03-2005,Kannada,Srinagar Kitty,Divya Spandana,Gurukiran,"Aadi transforms from being an unemployed young man to a responsible and kind businessman after a chance encounter with Aishwarya and her father, Uday Chandra.",0,0.1594
Ranachandi,25-03-2005,Kannada,Shobaraj,Prema,Maruti,,0,0.132
Magic Ajji,17-06-2005,Kannada,Mandya Ramesh,Sudharani,,Queen Rajeshwari Devi dies on her 100th birthday. She comes back as a friendly ghost to help her disowned daughter-in-law and grandson claim their place in the palace.,0,0.1237
Gowramma,03-06-2005,Kannada,Upendra,,,A 2005 Kannada film.,0,0.0877
Cyanide,08-01-2006,Kannada,Avinash,Malavika Avinash,,"""Cyanide"" is about the incidents that occurred in the peripheries of Bangalore after the assassins of former Prime Minister Rajiv Gandhi stepped into the city. The story revolves around a helpless couple who fall into the clutches of the gang and are taken hostage.",5,0.7933
Aishwarya,15-09-2006,Kannada,Upendra,Deepika Padukone,Rajesh Ramanathan,"Abhishek's been betrayed in love, and doesn't like girls. Aishwarya walks into his life and love starts to blossom, which is forever.",5,0.629
Mungaru Male,15-12-2006,Kannada,Anant Nag,Pooja Gandhi,Mano Murthy,"Preetham loves Nandhini, whose marriage is already fixed. He feels bad and leaves the place. Nandini challenges him to win her heart. Preetham accepts the challenge.",7.3,0.426
Ajay,04-05-2006,Kannada,Puneeth Rajkumar,Anuradha Mehta,Mani Sharma,"Ajay hides Paddu in his house without the knowledge of his father, trying to send her to Australia as she has a passport and a VISA. There is triumph everywhere for Ajay, a settled profession, a beautiful wife and defeat of his opponent Prakash Raj and his team.",6,0.2754
Thandege Thakka Maga,31-03-2006,Kannada,Ambareesh,,,A 2006 Kannada film,7.5,0.2607
Thavarina Siri,19-05-2006,Kannada,Shivaraj Kumar,Daisy Bopanna,Hamsalekha,Thavarina siri tells the brother and sister love.Mutthanna (Shivarajkumar) brings up his three sisters after his parents,0,0.2038
Tananam Tananam,24-11-2006,Kannada,Shaam,Divya Spandana,K Kalyan,"Tananam Tananam (Kannada: ತನನಂ ತನನಂ) is a 2006 Indian Kannada romantic musical drama film directed and written by Kavitha Lankesh. The film introduces Shaam, a Tamil actor, to Kannada cinema along with Ramya and Rakshita teaming up together for the first time, in the lead roles. The film was produced by N. M. Suresh and based on a Tamil short story written by Kalki. The film released on 24 November 2006. The film won two Filmfare Awards in Best Actress and Best Lyricist categories. Noted violinist L. Subramaniam was roped in to play violin bits in the film.",0,0.2536
My Autograph,17-02-2006,Kannada,Sudeep,Meena,Bharathwaj,"The story revolves around Shankar, working in an advertising agency who comes to his village to invite his friends to his marriage. He remembers the good old days and also sees how his friends are faring now. All this is told in flashback.",6.5,0.2459
Ravi Shastry,28-09-2006,Kannada,V. Ravichandran,Sneha,Rajesh Ramanathan,"Ravi Shastry, a barber's son, pretends to be a Brahmin to secure a livelihood. His wedding to Bhanu, the Brahmin community head's daughter, is stalled when his bluff is called.",0,0.2162
Ganda Hendathi,27-06-2006,Kannada,Tilak Shekar,Sanjjanaa Galrani,Gurukiran,,2,0.2122
Care of Footpath,24-11-2006,Kannada,Kishan Shrikanth,Jayashree B.,,"An orphan slum boy who is adopted by an old lady who finds him on a footpath. She brings him to live with her in the slums. With his friends, he makes a living picking up selling rags. An encounter with some school going students, who call him an uneducated brute, changes the life of this slum boy. He takes up a personal challenge to attend school and get educated. The film depicts how this slum boy faces hardships in getting admission and attending schools and in fulfilling his dream to become educated.",0,0.1153
Neenello Nanalle,08-07-2006,Kannada,Vishnuvardhan,Chitra Shenoy,,"Santhosh comes from England to India with his mother to attend a wedding. However, he meets a village girl and instantly falls in love with her.",0,0.1541
Naayi Neralu,01-04-2006,Kannada,Ashwin Bolar,Pavitra Lokesh,Isaac Thomas Kottukappally,"A widow meets a young man who claims to be her husband, reincarnated.",5,0.2152
Tenali Rama,07-12-2006,Kannada,Ramesh Aravind,Umashree,R. P. Patnaik,Tenali Rama is the comedy film with funny dialogs.Ramesh Arvind is a B.Com graduate and Jaggesh is an S.S.L.C holder and both of them are searching the job but a fake employment agent tells them that he will take them to Dubai.,0,0.1071
Chellata,21-04-2006,Kannada,Ganesh,Rekha Vedavyas,Gurukiran,A poor orphan falls in love with a wealthy industrialist.,0,0.1459
Sevanthi Sevanthi,14-04-2006,Kannada,Vijay Raghavendra,Divya Spandana,S.A. Rajkumar,"Singer Devu attracts the attention of the lovely Sevanthi with his beautiful voice, but he misreads her appreciation as love and pursues her with purpose, only to see his world shatter when he learns she's engaged to married. The love-struck Devu then decides he will stop at nothing to prevent the wedding in this Kannada-language treat, featuring the songs ""Chellidaru Malligeya,"" ""Jaaji,"" ""Bhaggada Balegara,"" ""Mayadhanta"" and ""Namliyetanada.""",0,0.0781
