Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Sontham,23-08-2002,Telugu,Sunil Varma,Namitha,Devi Sri Prasad,"Vamsy, Bose, and Nandu are childhood friends, with their bond still going strong in college. However, will things change when Bose falls in love?",5.333,0.719
Avunu Valliddaru Ishtapaddaru!,02-08-2002,Telugu,Ravi Teja,Kaveri,Chakri,Anil and Swathi live in the same room without invading each other's personal space. Things get interesting when they exchange letters and gradually fall in love.,6.8,0.5654
Khadgam,29-11-2002,Telugu,Srikanth,Sangeetha Krish,Devi Sri Prasad,"After being victims of terrorism, an aspiring actor, a driver and a sincere police officer come together to stop a terrorist from fleeing and put an end to his plans.",7,0.5315
Chennakesava Reddy,22-09-2002,Telugu,Nandamuri Balakrishna,Shriya Saran,Mani Sharma,"After two decades in prison, legendary factionist Chennakesava Reddy (Balakrishna) returns to Rayalaseema, seeking revenge. Standing in his way, is his son Bharath (also Balakrishna), a law-abiding police officer.",5.5,0.5806
Nuvve... Nuvve...,10-10-2002,Telugu,Tarun,Shriya Saran,Saluri Koteswara Rao,"Vishwanath is a millionaire who loves his daughter Anjali obsessively. When Vishwanath discovers that Anjali is in love with Rishi, a happy-go-lucky man from a middle class family, he tries his best to separate them.",5.8,0.6366
Sreeram,21-06-2002,Telugu,Uday Kiran,Anita Hassanandani Reddy,,"Sreeram's ambition to become a police officer is in jeopardy when he has a fight with Encounter Shankar, a corrupt police officer, when he misbehaves with his girlfriend.",0,0.503
Thotti Gang,06-12-2002,Telugu,Allari Naresh,Gajala,,"Achi Babu (Allari Naresh), Sathi Babu (Sunil) and Suri Babu (Prabhu Deva) are the best buddies since childhood. They form a band that does multi purpose jobs like acting as band of boys for marriages, professional catchers of dogs, and cremation service guys. Karate Malliswari (Gajala), another childhood nightmarish karate-skill-flaunting damsel, lures Achi Babu into love. Then she snatches Achi Babu away from Suri Babu and Sathi Babu to make him her live-in boy friend. They also get engaged to each other. Irritated by their act, Suri Babu and Sathi Babu kidnap Malliswari. They tie her to a chair and then hatch another plan to make Achi Babu believe that Malliswari is dead. In that process, they dig a 'fresh' dead body from a crematorium, pack her in the car of Malliswari and throw that car into a valley. Police confirms that Malliswari is dead and Achi Babu's heart breaks again.",6,0.38
Nee Sneham,02-12-2002,Telugu,Uday Kiran,Aarthi Agarwal,R. P. Patnaik,"Madhav (Uday Kiran) and Seenu (Jatin) are neighbors and best buddies. They play football representing the AP team. During their trip to Calcutta, Seenu gets injured in order to save Madhav from an accident. Doctors say that Seenu is unfit to play football and he can walk only by using a walking stick. Seenu takes a vow from Madhav that he should not tell anybody that he was injured while saving Madhav.  Amrutha (Arti Agarwal) is a middle class girl who is raised by their grand parents (K Viswanath and Sujatha). Madhav happens to see Amrutha one fine day and falls in love with her. …… If I start telling the relationships and complexity of the relations, you would complain to me after watching the film that I deprived you of enjoying the happenings on the screen. So let me stop writing the story line and start jumping into actor's performance department.",4,0.4559
Takkari Donga,12-01-2002,Telugu,Mahesh Babu,Lisa Ray,Mani Sharma,"A fearless outlaw offers to safeguard the daughter of his accomplice in return for a map to a secret diamond mine. However, his quest is compromised after a bandit gets wind of the secret map.",6.4,0.4202
Seema Simham,10-01-2002,Telugu,Nandamuri Balakrishna,Simran,Mani Sharma,"Seema Simham is a action based movie in which, Visweswara Rao (Raghuvaran) and Chandra Sekhar (Charan Raj) are the best friends. They have a kid each. Visweawara Rao is a business magnate and Chandra Sekhar is a police officer. Chandra Sekhar arrests a dreaded goon and the goon",4.5,0.2574
