Title,Release Date,Language,Hero,Heroine,Music Director,Overview,Vote Average,Popularity
Papa the Great,18-03-2000,Hindi,Krishan Kumar,Nagma,,"Bobby is a young lad, who lives with his Engineer dad, Jai Prakash, and mom, Pooja. Bobby always brags to everyone as to how brave and macho his dad is. But only Jai knows that he is quite the opposite - mousy, submissive, and afraid of any confrontation. To make matters worse, Jai falls in the bad books of local gangster Villain Kaka, who is out to crush him, as he had crushed a police inspector. Jai is all for running away to Delhi or as far as he can possibly get from Kaka. Before he could do anything, their lives are turned upside down by the appearance of a gangster named Biharilal - who forcibly invites himself in Jai's house - and refuses to go away. Watch how Jai, Bobby, and Pooja deal with this new threat.",6,0.1672
Kaala Mandir,21-07-2000,Hindi,Shakti Kapoor,Neelima Azim,,Kaala Mandir is a story of an innocent girl who forced to work in the in the sex trade and when she runs away she is raped by her madams goons. A tantrik finds her body and infuses life into her body with his magic powers and the blessings of Kaali Mata. The girl goes out for revenge against the lady don and her men.,0,0.1081
The Magic Pearl,09-02-2000,Hindi,Arjun Chakraborty,,,"Fisherman Mahadev finds a shiny pink pearl that brings him luck, and soon he wins the lottery. But a greedy goldsmith wants the pearl at any cost and hires goons to kidnap Mahadev's daughter.",6,0.0724
Do Hafte Guzarte Do Hafte Nahin Lagte,01-01-2000,Hindi,,,,"When Suman has to go to her mother's house, Bharat asks her to write which she refuses saying that he doesn't know how to keep it to himself. Bharat promises to find the right place for it. She is adamant but writes nonetheless and Bharat has to keep his promise now. And so begins his search for his corner in the space that belongs to many.",0,0.0903
Witness,09-07-2000,Hindi,Akshay Anand,,,An aimless man who turns his life around after meeting a woman whose lover has disappeared. Things take an unforeseen turn when the lover returns.,0,0.1357
Fenugreek,01-01-2000,Hindi,,,,A minimalist film that looks at how death can silence a voice and strip away self identity,0,0.07
Bhooth Haveli,01-09-2000,Hindi,Rammohan Sharma,,,Hindi horror film.,0,0.0589
Sabse Bada Beimaan,01-12-2000,Hindi,,,,"Sabse Bada Beimaan Is A Bollywood Action Crime Hindi Movie, Directed By Imran Khalid, Starring Mithun Chakraborty, Manik Bedi, Mohan Joshi And Kiran Kumar In The Lead Roles. An Auto Rickshaw Driver Who Turns Into A Thief At Night And A Policeman Who Becomes Corrupt To Make Money For His Sister's Marriage Try To Transform Themselves And Become Righteous.",0,0.0887
Street 13,01-01-2000,Hindi,,,,"A  scary horror hindi film starring Geeta Chauhan, Aditya Mohan and Ashima Pandey.",0,0.0688
Ganga Dacait,01-01-2000,Hindi,Ishrat Ali,Sapna Sappu,,"GENRE: Action  STAR CAST: Sapna Sappu, Amit Pachori, Mohan Joshi, Ishrat Ali, Shakti Kapoor, Kiran Kumar, Moonmoon Sen, Joginder Shelly, Anu Kashyap, Satnam Kaur, Brij Gopal",0,0.0873
