Title,Release Date,Language,Vote Average,Popularity
Thoovanam,07-09-2007,Tamil,0,0.0071
Subramaniapuram,04-07-2008,Tamil,7.3,1.6827
Thenavattu,21-11-2008,Tamil,7,0.6018
Kuselan,01-08-2008,Tamil,5,1.3231
Vaaranam Aayiram,14-11-2008,Tamil,7.3,1.1461
Abhiyum Naanum,19-12-2008,Tamil,7.9,0.3641
Kuruvi,03-05-2008,Tamil,4.434,0.3762
Yaaradi Nee Mohini,04-04-2008,Tamil,7,0.5778
Dasavatharam,13-06-2008,Tamil,6.5,0.5405
Santosh Subramaniam,11-04-2008,Tamil,7.1,0.499
Bheema,15-01-2008,Tamil,5.5,0.5076
Seval,26-10-2008,Tamil,2,0.3658
Velli Thirai,08-03-2008,Tamil,5.8,0.3423
My Magic,23-05-2008,Tamil,5,0.2492
Sandai,21-03-2008,Tamil,5.8,0.2996
Aegan,25-10-2008,Tamil,4.167,0.3108
Raman Thediya Seethai,24-09-2008,Tamil,7,0.2754
Sakkarakatti,26-09-2008,Tamil,2.5,0.4741
Silambattam,18-12-2008,Tamil,3,0.2863
Panchamirtham,26-12-2008,Tamil,3,0.2272
Dhaam Dhoom,29-08-2008,Tamil,4.9,0.2572
Ellam Avan Seyal,28-11-2008,Tamil,7,0.2858
Pandhayam,19-09-2008,Tamil,0,0.2506
Vaazhthugal,14-01-2008,Tamil,4,0.2491
Saroja,05-09-2008,Tamil,6.8,0.2618
