Title,Release Date,Language,Hero,Heroine
Seetharamudu,01-01-2006,Telugu,Ajay,Ankitha
Chukkallo Chandrudu,14-01-2006,Telugu,Siddharth,Saloni Aswani
Game,05-08-2006,Telugu,Mohan Babu,Shobana
Veerabhadra,29-04-2006,Telugu,Nandamuri Balakrishna,Sadha
Kamli,01-03-2006,Telugu,Tanikella Bharani,Nandita Das
Shock,09-02-2006,Telugu,Ravi Teja,Jyothika
Sarada Saradaga,27-01-2006,Telugu,Srikanth,
Vanaja,11-09-2006,Telugu,Ramachandriah Marikanti,Mamatha Bhukya
Hanumanthu,01-06-2006,Telugu,Srihari,K R Vijaya
Sri Krishna 2006,27-05-2006,Telugu,Srikanth,Ramya Krishnan
Chinnodu,27-10-2006,Telugu,Sumanth,Charmy Kaur
Style,12-01-2006,Telugu,Raghava Lawrence,Charmy Kaur
Maayajaalam,05-12-2006,Telugu,Srikanth,Poonam Kaur
Oka V Chitram,19-05-2006,Telugu,Aadhi Pinisetty,Madhu Shalini
Asthram,05-02-2006,Telugu,Vishnu Manchu,Anushka Shetty
Nandanavanam.. 120Kms,30-06-2006,Telugu,Naresh,Rameshwari Talluri
Evandoi Sreevaru,12-05-2006,Telugu,Srikanth,Sneha
Bhagyalakshmi Bumper Draw,16-11-2006,Telugu,Rajendra Prasad,Kiran Rathod
Party,24-06-2006,Telugu,Allari Naresh,
Raraju,20-10-2006,Telugu,Gopichand,Meera Jasmine
Maya Bazaar,23-11-2006,Telugu,S. P. Balasubramaniam,Bhumika Chawla
Dongodi Pelli,15-09-2006,Telugu,,Kirat Bhattal
Bommalata,01-06-2006,Telugu,Allari Naresh,Shriya Saran
Kittu,21-07-2006,Telugu,,
Maa Iddari Madya,08-09-2006,Telugu,,
Anumanam,16-03-2006,Telugu,,
Athidhi,18-10-2007,Telugu,Mahesh Babu,Amrita Rao
Yamadonga,15-08-2007,Telugu,N.T. Rama Rao Jr.,Priyamani
Munna,02-05-2007,Telugu,Prabhas,Ileana D'Cruz
Toss,14-07-2007,Telugu,Upendra,Priyamani
Yogi,14-01-2007,Telugu,Prabhas,Nayanthara
Vijayadasami,21-09-2007,Telugu,Kalyan Ram,Vedhika
Desamuduru,12-01-2007,Telugu,Allu Arjun,Hansika Motwani
Dubai Seenu,07-06-2007,Telugu,Ravi Teja,Nayanthara
Dhee,13-04-2007,Telugu,Vishnu Manchu,Genelia D'Souza
Raju Bhai,18-05-2007,Telugu,Manchu Manoj,Sheela Kaur
Chirutha,28-09-2007,Telugu,Ram Charan,Neha Sharma
Aata,08-05-2007,Telugu,Siddharth,Ileana D'Cruz
Shankar Dada Zindabad,27-07-2007,Telugu,Chiranjeevi,Karishma Kotak
Athili Sathibabu LKG,04-06-2007,Telugu,Allari Naresh,Kausha Rach
Classmates,20-04-2007,Telugu,Sumanth,Kamalinee Mukherjee
Chandamama,07-09-2007,Telugu,Navdeep,Kajal Agarwal
Aadavari Matalaku Ardhalu Verule,27-04-2007,Telugu,Venkatesh,Trisha Krishnan
Mantra,14-12-2007,Telugu,Sivaji Sontineni,Charmy Kaur
Tulasi,12-10-2007,Telugu,Venkatesh,Nayanthara
Don,20-12-2007,Telugu,Nagarjuna Akkineni,Anushka Shetty
Okkadunnadu,03-03-2007,Telugu,Gopichand,Neha Jhulka
Jagadam,16-03-2007,Telugu,Ram Pothineni,Isha Sahani
Viyyalavari Kayyalu,01-11-2007,Telugu,Uday Kiran,Neha Jhulka
Maharadhi,01-02-2007,Telugu,Nandamuri Balakrishna,Sneha
Happy Days,28-09-2007,Telugu,Varun Sandesh,Tamannaah Bhatia
Nava Vasantham,09-11-2007,Telugu,Tarun,Priyamani
Anasuya,21-12-2007,Telugu,Abbas,Bhumika Chawla
Mee Sreyobhilashi,28-12-2007,Telugu,Rajendra Prasad,
Lakshyam,06-07-2007,Telugu,Gopichand,Anushka Shetty
Navvule Navvulu,07-07-2007,Telugu,Kondavalasa Lakshmana Rao,Anju Asrani
Sri Mahalakshmi,04-05-2007,Telugu,Srihari,Mumaith Khan
Anumanaspadam,10-02-2007,Telugu,Aryan Rajesh,Hamsa Nandini
Sri Satyanarayana Swamy,01-01-2007,Telugu,Suman Talwar,Ravali
Operation Duryodhana,31-05-2007,Telugu,Srikanth,Kaveri
Madhumasam,09-02-2007,Telugu,Sumanth,Sneha
