Title,Release Date,Language,Vote Average,Popularity
Hulchul,26-11-2004,Hindi,6.6,0.2706
Dil Maange More!!!,31-12-2004,Hindi,4.3,0.1871
Let the Wind Blow,12-01-2004,Hindi,4.6,0.1944
Paisa Vasool,27-01-2004,Hindi,0,0.2361
Woh,26-03-2004,Hindi,0,0.1192
Tum: A Dangerous Obsession,27-02-2004,Hindi,3.1,0.1838
Fida,20-08-2004,Hindi,5.2,0.3372
Suno Sasurjee,30-07-2004,Hindi,0,0.173
Raghu Romeo,18-06-2004,Hindi,5,0.1968
Hawas,02-04-2004,Hindi,3.4,0.2679
Inteqam: The Perfect Game,30-11-2004,Hindi,6,0.1448
Mysteries Shaque,01-01-2004,Hindi,0,0.1428
Ishq Qayamat,20-08-2004,Hindi,0,0.1558
"Chot [Aaj Isko, Kal Tereko]",18-06-2004,Hindi,10,0.1744
Hatya: The Murder,15-10-2004,Hindi,10,0.1814
Ghar Grihasti,29-06-2004,Hindi,0,0.1461
Shukriya: Till Death Do Us Apart,08-10-2004,Hindi,4.8,0.1686
Shaadi Ka Laddoo,23-04-2004,Hindi,0,0.2092
Agni Pankh,01-01-2004,Hindi,0,0.1354
Hosh,01-01-2004,Hindi,0,0.1354
